"start range,end range,street name,regulation text,regulation href"
"2400,2499,'S 13TH ST','Special Case',specialCase"
"2500,2599,'S 13TH ST','Special Case',specialCase"
"2600,2699,'S 13TH ST','Special Case',specialCase"
"500,599,'S 13TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1650,1699,'S 14TH ST','4 Inch Rule',4inchRule"
"1700,1799,'S 14TH ST','4 Inch Rule',4inchRule"
"1800,1899,'S 14TH ST','4 Inch Rule',4inchRule"
"1900,1999,'S 14TH ST','4 Inch Rule',4inchRule"
"2000,2099,'S 14TH ST','4 Inch Rule',4inchRule"
"2100,2199,'S 14TH ST','4 Inch Rule',4inchRule"
"2200,2299,'S 14TH ST','4 Inch Rule',4inchRule"
"2300,2399,'S 14TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2400,2499,'S 14TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2500,2599,'S 14TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2600,2699,'S 14TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"800,899,'S 14TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"900,999,'S 14TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1000,1099,'S 14TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1100,1199,'S 14TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1200,1299,'S 14TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1300,1399,'S 14TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1400,1499,'S 14TH ST','4 Inch Rule',4inchRule"
"1500,1599,'S 14TH ST','4 Inch Rule',4inchRule"
"1100,1199,'S 15TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1200,1299,'S 15TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1300,1399,'S 15TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1400,1499,'S 15TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1500,1599,'S 15TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1600,1699,'S 15TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1700,1799,'S 15TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1800,1899,'S 15TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1900,1999,'S 15TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2000,2099,'S 15TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2100,2199,'S 15TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2200,2299,'S 15TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2300,2399,'S 15TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2400,2499,'S 15TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2500,2599,'S 15TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2600,2699,'S 15TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2700,2799,'S 15TH PL','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1700,1799,'S 15TH ST','4 Inch Rule',4inchRule"
"1800,1899,'S 15TH ST','4 Inch Rule',4inchRule"
"1900,1999,'S 15TH ST','4 Inch Rule',4inchRule"
"2000,2099,'S 15TH ST','4 Inch Rule',4inchRule"
"2100,2199,'S 15TH ST','4 Inch Rule',4inchRule"
"2200,2299,'S 15TH ST','4 Inch Rule',4inchRule"
"800,899,'S 15TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"900,999,'S 15TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1000,1099,'S 15TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1100,1199,'S 15TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1200,1299,'S 15TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1300,1399,'S 15TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1400,1499,'S 15TH ST','4 Inch Rule',4inchRule"
"1500,1599,'S 15TH ST','4 Inch Rule',4inchRule"
"1600,1699,'S 15TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"100,199,'N 16TH ST','No Winter Night Parking',noWinter"
"200,299,'N 16TH ST','No Winter Night Parking',noWinter"
"300,399,'N 16TH ST','No Winter Night Parking',noWinter"
"400,499,'N 16TH ST','No Winter Night Parking',noWinter"
"500,599,'N 16TH ST','No Winter Night Parking',noWinter"
"600,699,'N 16TH ST','No Winter Night Parking',noWinter"
"700,799,'N 16TH ST','No Winter Night Parking',noWinter"
"800,899,'N 16TH ST','No Winter Night Parking',noWinter"
"1950,1999,'S 16TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2000,2099,'S 16TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2100,2199,'S 16TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2200,2299,'S 16TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"100,199,'S 16TH ST','No Winter Night Parking',noWinter"
"200,299,'S 16TH ST','No Winter Night Parking',noWinter"
"300,399,'S 16TH ST','No Winter Night Parking',noWinter"
"400,499,'S 16TH ST','No Winter Night Parking',noWinter"
"500,599,'S 16TH ST','No Winter Night Parking',noWinter"
"2500,2599,'S 16TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2600,2699,'S 16TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2300,2399,'S 16TH ST','Special Case',specialCase"
"2400,2499,'S 16TH ST','Special Case',specialCase"
"600,699,'S 16TH ST','Special Case',specialCase"
"700,799,'S 16TH ST','Special Case',specialCase"
"800,899,'S 16TH ST','Special Case',specialCase"
"900,999,'S 16TH ST','Special Case',specialCase"
"1000,1099,'S 16TH ST','Special Case',specialCase"
"1100,1199,'S 16TH ST','Special Case',specialCase"
"1200,1299,'S 16TH ST','Special Case',specialCase"
"1300,1399,'S 16TH ST','Special Case',specialCase"
"1400,1499,'S 16TH ST','Special Case',specialCase"
"1500,1599,'S 16TH ST','Special Case',specialCase"
"1600,1699,'S 16TH ST','Special Case',specialCase"
"1700,1799,'S 16TH ST','Special Case',specialCase"
"1800,1899,'S 16TH ST','Special Case',specialCase"
"1900,1950,'S 16TH ST','Special Case',specialCase"
"500,599,'N 17TH ST','No Winter Night Parking',noWinter"
"600,699,'N 17TH ST','No Winter Night Parking',noWinter"
"700,799,'N 17TH ST','No Winter Night Parking',noWinter"
"800,899,'N 17TH ST','No Winter Night Parking',noWinter"
"900,999,'N 17TH ST','No Winter Night Parking',noWinter"
"1000,1099,'N 17TH ST','No Winter Night Parking',noWinter"
"1100,1199,'N 17TH ST','No Winter Night Parking',noWinter"
"1200,1299,'N 17TH ST','No Winter Night Parking',noWinter"
"1300,1399,'N 17TH ST','No Winter Night Parking',noWinter"
"1400,1499,'N 17TH ST','No Winter Night Parking',noWinter"
"1500,1599,'N 17TH ST','No Winter Night Parking',noWinter"
"1600,1699,'N 17TH ST','No Winter Night Parking',noWinter"
"1700,1799,'N 17TH ST','No Winter Night Parking',noWinter"
"1800,1899,'N 17TH ST','No Winter Night Parking',noWinter"
"1900,1999,'N 17TH ST','No Winter Night Parking',noWinter"
"2000,2099,'N 17TH ST','No Winter Night Parking',noWinter"
"2300,2399,'S 17TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2400,2499,'S 17TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1900,1999,'S 17TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1600,1699,'S 17TH ST','4 Inch Rule',4inchRule"
"1700,1799,'S 17TH ST','4 Inch Rule',4inchRule"
"1800,1899,'S 17TH ST','4 Inch Rule',4inchRule"
"700,799,'S 17TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"800,899,'S 17TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"900,999,'S 17TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1500,1599,'S 17TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2000,2099,'S 17TH ST','4 Inch Rule',4inchRule"
"2100,2199,'S 17TH ST','4 Inch Rule',4inchRule"
"1000,1099,'S 17TH ST','4 Inch Rule',4inchRule"
"1100,1199,'S 17TH ST','4 Inch Rule',4inchRule"
"1200,1299,'S 17TH ST','4 Inch Rule',4inchRule"
"1300,1399,'S 17TH ST','4 Inch Rule',4inchRule"
"2300,2399,'S 18TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2400,2499,'S 18TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2500,2599,'S 18TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1600,1699,'S 18TH ST','4 Inch Rule',4inchRule"
"1700,1799,'S 18TH ST','4 Inch Rule',4inchRule"
"1800,1899,'S 18TH ST','4 Inch Rule',4inchRule"
"1900,1999,'S 18TH ST','4 Inch Rule',4inchRule"
"2000,2099,'S 18TH ST','4 Inch Rule',4inchRule"
"2100,2199,'S 18TH ST','4 Inch Rule',4inchRule"
"800,899,'S 18TH ST','4 Inch Rule',4inchRule"
"900,999,'S 18TH ST','4 Inch Rule',4inchRule"
"1000,1099,'S 18TH ST','4 Inch Rule',4inchRule"
"1100,1199,'S 18TH ST','4 Inch Rule',4inchRule"
"1200,1299,'S 18TH ST','4 Inch Rule',4inchRule"
"1300,1399,'S 18TH ST','4 Inch Rule',4inchRule"
"2300,2399,'S 19TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1700,1799,'S 19TH ST','4 Inch Rule',4inchRule"
"1800,1899,'S 19TH ST','4 Inch Rule',4inchRule"
"1900,1999,'S 19TH ST','4 Inch Rule',4inchRule"
"800,899,'S 19TH ST','4 Inch Rule',4inchRule"
"900,999,'S 19TH ST','4 Inch Rule',4inchRule"
"1000,1099,'S 19TH ST','4 Inch Rule',4inchRule"
"1100,1199,'S 19TH ST','4 Inch Rule',4inchRule"
"1200,1299,'S 19TH ST','4 Inch Rule',4inchRule"
"1300,1399,'S 19TH ST','4 Inch Rule',4inchRule"
"1600,1699,'N 20TH ST','Snow Zone',snowZone"
"1700,1799,'N 20TH ST','Snow Zone',snowZone"
"1800,1899,'N 20TH ST','Snow Zone',snowZone"
"1900,1999,'N 20TH ST','Snow Zone',snowZone"
"2000,2099,'N 20TH ST','Snow Zone',snowZone"
"2100,2199,'N 20TH ST','Snow Zone',snowZone"
"2200,2299,'N 20TH ST','Snow Zone',snowZone"
"2300,2399,'N 20TH ST','Snow Zone',snowZone"
"2400,2499,'N 20TH ST','Snow Zone',snowZone"
"2500,2599,'N 20TH ST','Snow Zone',snowZone"
"2600,2699,'N 20TH ST','Snow Zone',snowZone"
"2700,2799,'N 20TH ST','Snow Zone',snowZone"
"2800,2899,'N 20TH ST','Snow Zone',snowZone"
"2900,2999,'N 20TH ST','Snow Zone',snowZone"
"3000,3099,'N 20TH ST','Snow Zone',snowZone"
"3100,3199,'N 20TH ST','Snow Zone',snowZone"
"3200,3299,'N 20TH ST','Snow Zone',snowZone"
"3300,3399,'N 20TH ST','Snow Zone',snowZone"
"3400,3499,'N 20TH ST','Snow Zone',snowZone"
"3500,3599,'N 20TH ST','Snow Zone',snowZone"
"3600,3699,'N 20TH ST','Snow Zone',snowZone"
"3700,3799,'N 20TH ST','Snow Zone',snowZone"
"3800,3899,'N 20TH ST','Snow Zone',snowZone"
"3900,3999,'N 20TH ST','Snow Zone',snowZone"
"800,899,'N 20TH ST','No Winter Night Parking',noWinter"
"900,999,'N 20TH ST','No Winter Night Parking',noWinter"
"1000,1099,'N 20TH ST','No Winter Night Parking',noWinter"
"1100,1199,'N 20TH ST','No Winter Night Parking',noWinter"
"1200,1299,'N 20TH ST','No Winter Night Parking',noWinter"
"1300,1399,'N 20TH ST','No Winter Night Parking',noWinter"
"1400,1499,'N 20TH ST','No Winter Night Parking',noWinter"
"1500,1599,'N 20TH ST','No Winter Night Parking',noWinter"
"1900,1999,'S 20TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1400,1499,'S 20TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1500,1599,'S 20TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1600,1699,'S 20TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"700,799,'S 20TH ST','4 Inch Rule',4inchRule"
"800,899,'S 20TH ST','4 Inch Rule',4inchRule"
"900,999,'S 20TH ST','4 Inch Rule',4inchRule"
"1000,1099,'S 20TH ST','4 Inch Rule',4inchRule"
"1100,1199,'S 20TH ST','4 Inch Rule',4inchRule"
"1200,1299,'S 20TH ST','4 Inch Rule',4inchRule"
"1300,1399,'S 20TH ST','4 Inch Rule',4inchRule"
"2100,2199,'S 20TH ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2650,2699,'S 20TH ST','No Winter Night Parking',noWinter"
"2700,2799,'S 20TH ST','No Winter Night Parking',noWinter"
"2800,2899,'S 20TH ST','No Winter Night Parking',noWinter"
"2900,2999,'S 20TH ST','No Winter Night Parking',noWinter"
"3000,3099,'S 20TH ST','No Winter Night Parking',noWinter"
"3100,3199,'S 20TH ST','No Winter Night Parking',noWinter"
"3200,3299,'S 20TH ST','No Winter Night Parking',noWinter"
"3300,3399,'S 20TH ST','No Winter Night Parking',noWinter"
"3400,3499,'S 20TH ST','No Winter Night Parking',noWinter"
"3500,3599,'S 20TH ST','No Winter Night Parking',noWinter"
"3600,3699,'S 20TH ST','No Winter Night Parking',noWinter"
"3700,3799,'S 20TH ST','No Winter Night Parking',noWinter"
"3800,3899,'S 20TH ST','No Winter Night Parking',noWinter"
"3900,3999,'S 20TH ST','No Winter Night Parking',noWinter"
"4000,4099,'S 20TH ST','No Winter Night Parking',noWinter"
"4100,4199,'S 20TH ST','No Winter Night Parking',noWinter"
"4200,4299,'S 20TH ST','No Winter Night Parking',noWinter"
"4300,4399,'S 20TH ST','No Winter Night Parking',noWinter"
"4400,4499,'S 20TH ST','No Winter Night Parking',noWinter"
"4500,4599,'S 20TH ST','No Winter Night Parking',noWinter"
"4600,4699,'S 20TH ST','No Winter Night Parking',noWinter"
"4700,4799,'S 20TH ST','No Winter Night Parking',noWinter"
"4800,4899,'S 20TH ST','No Winter Night Parking',noWinter"
"4900,4999,'S 20TH ST','No Winter Night Parking',noWinter"
"5000,5099,'S 20TH ST','No Winter Night Parking',noWinter"
"5100,5199,'S 20TH ST','No Winter Night Parking',noWinter"
"5200,5299,'S 20TH ST','No Winter Night Parking',noWinter"
"5300,5399,'S 20TH ST','No Winter Night Parking',noWinter"
"5400,5499,'S 20TH ST','No Winter Night Parking',noWinter"
"5500,5599,'S 20TH ST','No Winter Night Parking',noWinter"
"5600,5699,'S 20TH ST','No Winter Night Parking',noWinter"
"5700,5799,'S 20TH ST','No Winter Night Parking',noWinter"
"5800,5899,'S 20TH ST','No Winter Night Parking',noWinter"
"5900,5999,'S 20TH ST','No Winter Night Parking',noWinter"
"6000,6099,'S 20TH ST','No Winter Night Parking',noWinter"
"6100,6199,'S 20TH ST','No Winter Night Parking',noWinter"
"6200,6299,'S 20TH ST','No Winter Night Parking',noWinter"
"6300,6399,'S 20TH ST','No Winter Night Parking',noWinter"
"6400,6499,'S 20TH ST','No Winter Night Parking',noWinter"
"6500,6599,'S 20TH ST','No Winter Night Parking',noWinter"
"6600,6699,'S 20TH ST','No Winter Night Parking',noWinter"
"6700,6799,'S 20TH ST','No Winter Night Parking',noWinter"
"6800,6814,'S 20TH ST','No Winter Night Parking',noWinter"
"1900,1999,'S 21ST ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2100,2199,'S 21ST ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"2200,2299,'S 21ST ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"700,799,'S 21ST ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"800,899,'S 21ST ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"900,999,'S 21ST ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1000,1099,'S 21ST ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1100,1199,'S 21ST ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1200,1299,'S 21ST ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1300,1399,'S 21ST ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1400,1499,'S 21ST ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1500,1599,'S 21ST ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1500,1599,'S 22ND ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1600,1699,'S 22ND ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1200,1299,'S 22ND ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1300,1399,'S 22ND ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"700,799,'N 23RD ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"800,899,'S 23RD ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"900,999,'S 23RD ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1000,1099,'S 23RD ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1100,1199,'S 23RD ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
"1400,1499,'S 23RD ST','Non Winter Exception to Alternate Side Night Parking',alternateException"
